# The file paths here have somewhat been annonimized. Please take it as a guideline for setting up the DiffBind analysis,,,,,,,,,,
SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
H3K27ac_8C_K_KD_rep1,8C,H3K27ac,Klf5_KD,Klf5_KD,1,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_K_KD_rep1_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_K_KD_rep1_macs2_peaks.narrowPeak,macs
H3K27ac_8C_K_KD_rep2,8C,H3K27ac,Klf5_KD,Klf5_KD,2,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_K_KD_rep2_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_K_KD_rep2_macs2_peaks.narrowPeak,macs
H3K27ac_8C_K_KD_rep3,8C,H3K27ac,Klf5_KD,Klf5_KD,3,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_K_KD_rep3_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_K_KD_rep3_macs2_peaks.narrowPeak,macs
H3K27ac_8C_NK_DKD_rep1,8C,H3K27ac,dKD,dKD,1,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_NK_DKD_rep1_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_NK_DKD_rep1_macs2_peaks.narrowPeak,macs
H3K27ac_8C_NK_DKD_rep2,8C,H3K27ac,dKD,dKD,2,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_NK_DKD_rep2_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_NK_DKD_rep2_macs2_peaks.narrowPeak,macs
H3K27ac_8C_NK_DKD_rep3,8C,H3K27ac,dKD,dKD,3,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_NK_DKD_rep3_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_NK_DKD_rep3_macs2_peaks.narrowPeak,macs
H3K27ac_8C_NT_rep1,8C,H3K27ac,NT_ctrl,NT_ctrl,1,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_NT_rep1_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_NT_rep1_macs2_peaks.narrowPeak,macs
H3K27ac_8C_NT_rep2,8C,H3K27ac,NT_ctrl,NT_ctrl,2,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_NT_rep2_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_NT_rep2_macs2_peaks.narrowPeak,macs
H3K27ac_8C_NT_rep3,8C,H3K27ac,NT_ctrl,NT_ctrl,3,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_NT_rep3_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_NT_rep3_macs2_peaks.narrowPeak,macs
H3K27ac_8C_N_KD_rep1,8C,H3K27ac,Nr5a2_KD,Nr5a2_KD,1,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_N_KD_rep1_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_N_KD_rep1_macs2_peaks.narrowPeak,macs
H3K27ac_8C_N_KD_rep2,8C,H3K27ac,Nr5a2_KD,Nr5a2_KD,2,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_N_KD_rep2_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_N_KD_rep2_macs2_peaks.narrowPeak,macs
H3K27ac_8C_N_KD_rep3,8C,H3K27ac,Nr5a2_KD,Nr5a2_KD,3,./chrom_mapping_H3K27ac_NKKD/031_BAM_rmDUP/H3K27ac_8C_N_KD_rep3_trimmed_filt_sort_rmdup.bam,,,./chrom_mapping_H3K27ac_NKKD/060_MACS2_PEAK_CALLING/narrow/H3K27ac_8C_N_KD_rep3_macs2_peaks.narrowPeak,macs
